P000082,POLITIKA,Serbia,BEOGRAD,,
P000083,INOTEK Zrenjanin,Serbia,ZRENJANIN,,
P000084,ELNI-PROM DOO Nis,Serbia,NIS,100616277,Uniprom -
P000085,LUKA BEOGRAD,Serbia,BEOGRAD,100000733,
P000086,ELBA - ne koristiti,Serbia,STARA PAZOVA,,
P000087,ATLANT,Serbia,ARANDELOVAC,,
P000088,KONCERN FARMAKOM MB SABAC INDUSTRIJSKI KOMBINAT GUCA AD GUCA,Serbia,GUCA,101269518,
P000089,IGMA,Serbia,POZAREVAC,,
P000090,SRBOKOKA,Serbia,JAGODINA,,
P000091,SMEDEREVKA,Serbia,BEOGRAD,,
P000092,SEME,Serbia,BEOGRAD,,
P000093,SEMKO,Serbia,BEOGRAD,,
P000094,LEPENKA F-KA LEPENKE I AMBALAZ,Serbia,NOVI KNEZEVAC,,
P000095,ZASTAVA DD - ENERGETIKA Kragujevac,Serbia,KRAGUJEVAC,101576503,
P000096,OMNIKOMERC,Serbia,BEOGRAD,,
P000097,GENEX KOMERC,Serbia,SMEDEREVO,,
P000098,AKORDA Petrovaradin,Serbia,PETROVARADIN,,
P000099,ELEKTROMONT N.Banovci,Serbia,NOVI BANOVCI,,
P000100,ISKRA COMMERCE N.Sad,Serbia,NOVI SAD,,
P000101,UNION MZ,Serbia,POZAREVAC,,
P000102,KOLUBARA-ZEMLJO.ZADRUGA Lazarevac,Serbia,LAZAREVAC,,
P000103,RAVEL,CRNA GORA,PODGORICA REPUBLIKA CRNA GORA,,
P000104,VF HOLDING,Serbia,ZEMUN,,
P000105,VF TELEKOMUNI.INZENJERING,Serbia,ZEMUN,,
P000106,VF PROIZVODNI INZENJERING,Serbia,ZEMUN,,
P000107,VF EKONOMIK,Serbia,ZEMUN,,
P000108,INTERSILVER Zemun,Serbia,ZEMUN,,
P000109,INSTITUT ZA NUKLEARNU NAUKU,Serbia,VINCA,,
P000110,VRENJE,Serbia,BEOGRAD,,
P000111,OMEGA-KOMERC,Serbia,ARANDELOVAC,,
P000112,DRAGIN PP,Serbia,NOVI SAD,,
P000113,ZORKA STAN,Serbia,SABAC,,
P000114,JKP BEOGRADSKI VODOVOD I KANALIZACIJA,Serbia,BEOGRAD,100346317,Zecevic Aleksandar
P000115,ELKONT,Serbia,BEOGRAD,,
P000116,TINA COMERC,Serbia,UZICE,,
P000117,BBM METALIK Beograd,Serbia,BEOGRAD,,
P000118,VATROSTALNA,CRNA GORA,PODGORICA REPUBLIKA CRNA GORA,,
P000119,NOPAL,Serbia,BACKA PALANKA,,
P000120,ATLAS COPCO Smederevo,Serbia,SMEDEREVO,,
P000121,NEVENA DP Leskovac,Serbia,LESKOVAC,100525901,
P000122,ENERGETIKA AD HOLDING KOMPANIJA VISKOZA AD Loznica,Serbia,LOZNICA,101192028,
P000123,Koncern Bambi A.D.Pozarevac,Serbia,POZAREVAC,100436827,Zecevic Mirjana
P000124,UTVA-ELPROMONT,Serbia,PANCEVO,,
P000125,OSLONAC,CRNA GORA,PODGORICA REPUBLIKA CRNA GORA,,
P000126,TINA-KOMERC,Serbia,UZICE,,
P000127,BIM SLAVIJA Beograd,Serbia,BEOGRAD,,
P000128,ELEKTROKOMERC DOO, BEOGRAD (PALILULA),Serbia,BEOGRAD,100043889,
P000129,IPK TRADE Beograd,Serbia,BEOGRAD,,
P000130,GENEX McDONALD S N.Beograd,Serbia,NOVI BEOGRAD,,
P000131,BEOGRAD-SIGURNOST,Serbia,BEOGRAD,,
P000132,PROGRES,Serbia,BEOGRAD,,
P000133,FIT FASADNA OPEKA Becej,Serbia,BECEJ,,
P000134,LUKA DUNAV AD PANCEVO,Serbia,PANCEVO,101059042,Cupac Jovana
P000135,ZEPTER,Serbia,BEOGRAD,,
P000136,TESLA FABRIKA SIJALCA,Serbia,PANCEVO,,
P000137,FAGRAM Smederevo,Serbia,SMEDEREVO,,
P000138,KERAMIKA AD Mladenovac u stecaju,Serbia,MLADENOVAC,101280964,Uniprom -
P000139,BEOGRADSKE ELEKTRANE JKP,Serbia,BEOGRAD,100139344,Tenderi JN
P000140,BEOGRADSKI SAJAM doo,Serbia,BEOGRAD,100000792,Japundza Milan
P000141,V i P,Serbia,STARI BANOVCI,,
P000142,ZLATNIK SUR,Serbia,ZEMUN,,
P000143,IMT,Serbia,NOVI BEOGRAD,,
P000144,KONEL KONCAR,Serbia,BEOGRAD,,
P000145,PEGI,Serbia,NOVI BANOVCI,,
P000146,SAV-PO,Serbia,STARA PAZOVA,,
P000147,STUDIO-TURS,Serbia,ZEMUN,,
P000148,KUBRSNICA,Serbia,ARANDELOVAC,,
P000149,AD  IKARUS FAO Zemun - ugasen PIB,Serbia,ZEMUN,100014130,
P000150,LIVNICA KIKINDA,Serbia,KIKINDA,,
P000151,TEHNOGAS,Serbia,BEOGRAD,,
P000152,HEMEL CO,Serbia,BEOGRAD,,
P000153,TREPCA,Serbia,Kosovska Mitrovica,,
P000154,TEHNOHEMIJA,Serbia,BEOGRAD,,
P000155,IHIS-MATERIJALI Zemun,Serbia,ZEMUN,100104341,
P000156,DIME,Serbia,UZICE,,
P000157,MINI MARKET,Serbia,ZEMUN,,
P000158,TRGOVACKI GLASNIK,Serbia,BEOGRAD,,
P000159,MAJEVICA HOLDING AD B.Palanka,Serbia,BACKA PALANKA,100751888,
P000160,ALEKO Beograd,Serbia,BEOGRAD,,
P000161,VENIZ,Serbia,BEOGRAD,,
P000162,DIMITRIJEVIC PETAR,Serbia,KRALJEVO,,
P000163,LASTA,Serbia,STARA PAZOVA,,
P000164,PTT,Serbia,SREM.MITROVICA,,
P000165,GAS FEROMONT A.D. S.Pazova,Serbia,ST.PAZOVA,100534038,
P000166,BENIAN EKONOIK,Serbia,BEOGRAD,,
P000167,AKTIV 2000 d.o.o Beograd,Serbia,BEOGRAD,100176622,Uniprom -
P000168,ALFA-G Zemun,Serbia,ZEMUN,,
P000169,GAJ PROM,Serbia,ZEMUN,,
P000170,TELEOPTIK,Serbia,ZEMUN,,
P000171,ROMA COMPANY DOO BEOGRAD (ZEMUN),Serbia,ZEMUN,100012726,
P000172,SUPERIOR CO,Serbia,BEOGRAD,,
P000173,GAVRO I SINOVI doo Beograd,Serbia,BEOGRAD,100220774,
P000174,NIKIKI,Serbia,BEOGRAD,,
P000175,ZLATARA MAJDANPEK,Serbia,MAJDANPEK,,
P000176,TAJS,Serbia,NOVI BEOGRAD,,
P000177,ELIT IMPEX DOO BEOGRAD ZEMUN,Serbia,ZEMUN,100093572,Uniprom -
P000178,ECOMEX,Serbia,CACAK,,
P000179,GOREX,Serbia,BEOGRAD,,
P000180,EI ELKOM,Serbia,ZEMUN,,
P000181,CENTAR ZA EKONOM.POSLOVANJA,Serbia,BEOGRAD,,
P000182,SAVREMENA AD BEOGRAD,Serbia,BEOGRAD,100040122,
P000183,FOND KAPETAN DRAGAN,Serbia,BEOGRAD,,
P000184,ELEKTROVOJVODINA doo ED RUMA,Serbia,RUMA,102040644,
P000185,POSTANSKA STEDIONICA,Serbia,BEOGRAD,,
P000186,STING PP,Serbia,NOVI BEOGRAD,,
P000187,PRIVREDNI BIRO,Serbia,BEOGRAD,,
P000188,MILTRONIK,Serbia,SABAC,,
P000189,JUPITER,Serbia,STARA PAZOVA,,
P000190,REKORD,Serbia,BEOGRAD,,
P000191,PEKABETKO,Serbia,BEOGRAD,,
P000192,INSA A.D. Zemun,Serbia,ZEMUN,100001693,Japundza Milan
P000193,NIKODIJE STANOJ.TATKO,Serbia,PROKUPLJE,,
P000194,NEKSIM,Serbia,BEOGRAD,,
P000195,TEHNOPROMET,Serbia,BEOGRAD,,
P000196,SLUZBENI GLASNIK JP Beograd,Serbia,BEOGRAD,100002782,Zecevic Aleksandar
P000197,TELCOM DOO Beograd,Serbia,BEOGRAD,100220707,
P000198,MG CO,Serbia,NOVI BEOGRAD,,
P000199,VODOVOD KRAGUJEVAC,Serbia,KRAGUJEVAC,,
P000200,VOCAR-PRODUKT,Serbia,GUCA,,
P000201,NIKOLA TESLA T.E. "B" USCE,Serbia,OBRENOVAC,101217456,
P000202,MAJA BLOND Beograd,Serbia,BEOGRAD,,
P000203,PG KOMERC,Serbia,BEOGRAD,,
P000204,SUBA STR,Serbia,NOVI BEOGRAD,,
P000205,VODOVOD KRUSEVAC,Serbia,KRUSEVAC,,
P000206,ELEKTRO REMONT,Serbia,BEOGRAD,,
P000207,FLORA PRODUKT Prizren,Serbia,PRIZREN,,
P000208,FLORA,Serbia,PRIZREN,,
P000209,K BROS D.O.O Beograd,Serbia,BEOGRAD,100135403,
P000210,POBEDA-HOLDING,Serbia,NOVI SAD,,
P000211,AUTO NENA Beograd,Serbia,BEOGRAD,,
P000212,INTERKOMBIK,Serbia,BEOGRAD,,
P000213,C-MARKET PROD.306,Serbia,BANOVCI,,
P000214,METALKA MAJUR,Serbia,MAJUR,101323248,
P000215,BEOGRADSKI PAMUCNI KOMBINAT,Serbia,BEOGRAD,,
P000216,DUBOCICA 1971 D.O.O BEOGRAD-ZEMUN,Serbia,ZEMUN,107770703,
P000217,IHTM,Serbia,BEOGRAD,,
P000218,KNEZEV SAMOSTALNA RADNJA, ZORICA KNEZEV N.Becej,Serbia,NOVI BECEJ,101431574,
P000219,FROTEX Uzice,Serbia,UZICE,,
P000220,PLANTEKS,Serbia,PLANDISTE,,
P000221,GLOBAL,Serbia,NOVI SAD,,
P000222,JAA AUTOR.AGENCIJA,Serbia,BEOGRAD,,
P000223,EXIMUS,Serbia,SOPOT,,
P000224,SZR ZA IZRADU OPRUGA,Serbia,INDIJA,,
P000225,BEO LEDA Beograd,Serbia,BEOGRAD,,
P000226,MIG METAL DOO Beograd,Serbia,BEOGRAD,101735710,
P000227,PARUS,Serbia,BOR,,
P000228,NIS N.Sad,Narodnog fronta 12,sa P.O NIS Jugopetrol Beograd,Serbia,NOVI BEOGRAD,104052135,
P000229,KRIVAJA ZEM.ZADRUGA,Serbia,KRIVAJA,,
P000230,METALURGIJA 94,Serbia,BEOGRAD,,
P000231,ASTACO doo Zemun,Serbia,ZEMUN,100102045,Uniprom -
P000232,METAL-INVEST d.o.o. Mionica,Serbia,MIONICA (VAROSICA),101393863,
P000233,CENTROSREM,Serbia,STARA PAZOVA,,
P000234,MIROKO,Serbia,KRAGUJEVAC,,
P000235,VEZ PRODUKT D.O.O Zemun,Serbia,ZEMUN,101675303,
P000236,MALIGAN Surduk,Serbia,SURDUK,101243623,
P000237,INTTEX-MINEL MONTAZA Beograd,Serbia,BEOGRAD,,
P000238,DOO EL-PROM CACAK,Serbia,CACAK,101118921,Japundza Milan
P000239,IMTEL COMPUTERS,Serbia,BEOGRAD,,
P000240,FERUM AD Valjevo,Serbia,VALJEVO,100067659,
P000241,PLJEVLJA-RUDNIK UGLJA,CRNA GORA,PLJEVLJA,,
P000242,BRANKON,Serbia,ZEMUN,,
P000243,TEHNOPROJEKT,Serbia,VRSAC,,
P000244,AD AERODROM NIKOLA TESLA BEOGRAD,Serbia,BEOGRAD 59,100000539,
P000245,MAGNET KOMERC N.Pazova,Serbia,NOVA PAZOVA,,
P000246,COBIT,Serbia,BEOGRAD,,
P000247,BALKAN METAL Beograd,Serbia,BEOGRAD,,
P000248,KONELEK DOO BEOGRAD-ZEMUN,Serbia,BEOGRAD - ZEMUN,100095172,
P000249,UNIPRINT,Serbia,BEOGRAD,,
P000250,SARLAH LOLA KORPORACIJA,Serbia,PIROT,,
P000251,ISTER INZENJERING,Serbia,VALJEVO,,
P000252,THP,Serbia,SOPOT,,
P000253,PRIMORKA,CRNA GORA,BAR,,
P000254,ELKA,Serbia,ARANDELOVAC,,
P000255,SLOGA DD,Serbia,NOVI PAZAR,,
P000256,MITROVIC PTP,Serbia,NIS,,
P000257,SANA HAMEUM ZDRAVSTVENI CENTAR,Serbia,PROKUPLJE,,
P000258,KOSMAJ LIFTOVI,Serbia,BEOGRAD,,
P000259,DOB-OMLAD.ZADRUGA,Serbia,BEOGRAD,,
P000260,KLEK,Serbia,BATAJNICA-Zemun,,
P000261,COM TRADE,Serbia,BEOGRAD,,
P000262,CAMINO,CRNA GORA,PODGORICA REPUBLIKA CRNA GORA,,
P000263,MD TRANS-TRADE,Serbia,BEOGRAD,,
P000264,PEKARA SRETEN GUDURIC,Serbia,UZICE,,
P000265,GANGES INTERNATIONAL Beograd,Serbia,BEOGRAD,,
P000266,VEDI,Serbia,KRALJEVO,,
P000267,ULJARA MLADOST,Serbia,SID,,
P000268,MASINAC,Serbia,KRALJEVO,,
P000269,ELEKTROAGENT Nis  NE KORISTITI,Serbia,NIS,,
P000270,MONTAZA PROMET,Serbia,BEOGRAD,,
P000271,KONZORCIJUM,Serbia,ZEMUN,,
P000272,ZASTITA RADA,Serbia,BEOGRAD,,
P000273,ALATNICA LAZAREVIC,Serbia,BEOGRAD,,
P000274,KOSMET MONTAZA,Serbia,PRISTINA,,
P000275,ZVEZDA AD ZEMUN,Serbia,ZEMUN,100001572,
P000276,SLUZBENI LIST,Serbia,BEOGRAD,,
P000277,GORAL TRADE Beograd,Serbia,BEOGRAD,100145278,
P000278,MONTAVAR LOLA  D.O.O. BEOGRAD,Serbia,BEOGRAD - ZELEZNIK,104966116,
P000279,FOM PROKUPLJE,Serbia,PROKUPLJE,,
P000280,ZAVISIC,Serbia,BEOGRAD,,
P000281,FABRIKA REZNOG ALATA Cacak,Serbia,CACAK,,
